Bin1,Bin2,Bin3,Bin4,Bin5,genes,q_value,p_value
2.943e-05,1.5038e-05,3.498e-05,4.1962e-05,3.519e-05,Mapk1ip1l,0.161463396595214,0.019256
3.8057e-05,4.085e-05,5.501e-05,3.4588e-05,1.9248e-05,Dyrk1a,0.13383274749048,0.012896
3.7396e-05,4.1692e-05,6.2645e-05,5.7189e-05,4.9078e-05,Thyn1,0.146208741168208,0.01548
0.00014562,0.00020012,0.00018884,0.00011943,0.00012737,Chpf,0.124361796444541,0.010007
2.6905e-05,3.0618e-05,2.2786e-05,2.4029e-05,2.2618e-05,1700003M07Rik,0.10061629343066,0.0065533
0.0015628,0.0016149,0.0015382,0.0015086,0.001851,Aqp4,0.167864366277734,0.020893
4.6577e-05,3.2333e-05,5.5389e-05,6.2579e-05,2.8745e-05,Zcchc8,0.179885948717363,0.024303
1.1819e-05,1.4083e-05,1.0128e-05,1.7133e-05,1.2855e-05,Srp54b,0.186733081872239,0.026768
0.00014045,0.00014082,0.00018143,0.00014893,0.00018957,Gdpd2,0.150585944319238,0.016545
0.00066763,0.00070051,0.00068237,0.0007875,0.00084612,Fads2,0.0125785196903309,0.0002469
0.00011794,8.6593e-05,0.00012844,0.00011307,9.9597e-05,Ddx24,0.186103121645566,0.026548
0.00016484,0.00015808,0.00013052,0.00019181,0.00012538,Psmd4,0.157596434459229,0.018373
6.1922e-05,8.4173e-05,5.7097e-05,3.5249e-05,5.8097e-05,Rnf10,0.152999153015526,0.017183
0.00017155,0.00018243,0.00016149,0.00025298,0.00011563,Rnf14,0.0804636970518803,0.0044221
1.6978e-07,1.8776e-07,3.1959e-07,2.0084e-07,2.3857e-07,Gm11964,0.173311324813496,0.022473
0.00010499,0.00012525,9.8592e-05,0.00010905,6.9998e-05,3110002H16Rik,0.172848838630029,0.022082
0.00068401,0.0013716,0.0010914,0.00087088,0.00019226,Igfbp2,1.40999856418899e-52,4.1934e-56
3.6059e-07,4.7695e-07,3.4749e-07,1.5512e-07,4.7376e-07,Gm4950,0.102129819599894,0.006743
3.9265e-06,3.1163e-06,4.3138e-06,5.87e-06,5.8111e-06,Gm13127,0.194535644755041,0.030416
6.5343e-06,6.3356e-06,5.7782e-06,5.4272e-06,5.2996e-06,Gm28437,0.0471680733019581,0.0017535
1.6445e-06,1.2878e-06,1.6715e-06,1.3885e-06,1.029e-06,Gm28439,0.0655000048418979,0.0029056
9.5896e-05,8.9742e-05,0.00017138,0.00012818,8.7996e-05,Mbnl2,0.0919415712152433,0.0055211
7.1612e-05,5.6598e-05,6.0794e-05,0.0001084,7.4047e-05,Pgpep1,0.0843162654303028,0.0047946
0.0015415,0.0019811,0.0019028,0.0017457,0.0012954,Btbd17,0.000637627528312042,5.1201e-06
7.8552e-05,0.00013383,8.1875e-05,9.5306e-05,8.9911e-05,Plxnb2,0.102934009037542,0.0070054
6.1545e-05,6.5444e-05,6.8493e-05,7.2091e-05,7.8233e-05,Tenm3,0.130006605144892,0.01193
1.4652e-05,9.9591e-06,1.1974e-05,2.0345e-05,1.4301e-05,Sec14l2,0.130006605144892,0.012213
7.5407e-05,8.3574e-05,0.00010997,6.9991e-05,4.0217e-05,Tnrc6a,0.0280556478435339,0.0008177
8.9529e-05,0.00012798,9.0003e-05,0.00016675,0.0001288,Sept9,0.0209869947704467,0.00053678
0.00012481,0.00014323,0.00017984,0.00015591,0.00013173,Limk2,0.130006605144892,0.01219
7.6308e-07,8.9765e-07,6.4468e-07,7.8322e-07,7.0492e-07,Gm6204,0.161463396595214,0.019247
