genes	1	2	3	4	5
A830010M20Rik	-0.615900001744778	0.185910604412474	0.0251003778032653	0.0575526302836177	0.239881508238558
Adipor2	-0.552308324064011	0.126074016834362	0.0937510397115377	0.0756561577918941	0.149064461973162
Akt2	-0.0457645498380226	0.288679661513878	0.0197982752120338	-0.251330458187147	-0.384987713984515
Aldh1a1	-0.109142661767108	0.1134978362566	0.0496607580250411	-0.00347394024546468	-0.258677490729076
Aldh1l1	-0.599872218830154	-0.082001783138579	0.0619891756504888	0.22094628942729	0.376773332175657
Apoe	-0.526780177505927	-0.100573948556333	0.125493162493955	0.390850067030469	-0.112734393479718
Axin2	-0.122808919522099	0.0310869501864202	-0.0945611559078747	0.0728821507920978	0.164272714850033
B3galt2	-0.870401032919711	-0.520341942521574	-0.255688047764306	0.716521735754495	0.848191679129536
Bsg	-0.25326198749275	-0.0638770690778922	0.100901984109382	0.194711195517719	-0.0202638364584626
Caps2	0.0120656120608755	-0.0299974644031949	-0.0445910246633972	0.0524976121757231	0.0572257626767123
Cdo1	0.0401281214761877	0.252278826252352	-0.0325789179183098	-0.196346753120289	-0.161378141367205
Chd9	-0.584119528010645	0.208237080421308	0.105756023016292	0.0504573232436081	0.0778016264424589
Chrdl1	0.167007902632915	0.801648886837099	0.242786889706738	-0.547864634181515	-0.870984444447189
Cyp4f15	-0.0359798554518652	0.245645895814723	0.100480228285102	0.0114401357306768	-0.731006951809604
Ddhd1	-0.937020138340322	-0.0248226717918999	0.0994786142549833	0.429200951405119	0.326060676057834
Ddit4l	-0.197238124364804	0.619802344766017	0.334788123830954	-0.484101836393088	-0.506721031369236
Dhcr24	-0.89474060370542	0.102159759468979	0.0554337322920774	0.132413668378988	0.583870157930348
Dkk3	-0.246447610068586	-0.480663564242863	-0.359392895045939	0.377765936387084	0.978977475228096
Efhd2	-0.703723404806198	-0.349403740441325	-0.282530345004439	0.467934559571631	0.77461666825836
Eogt	-0.178035864286381	0.730991552238919	0.360019375622378	-0.355272421532664	-0.907915423808789
Ephx1	-0.0434281480521153	0.397272866547022	0.182213511630016	-0.08577374642825	-0.655828968455205
Fam212b	-0.396579384048354	0.528885793204301	-0.135837806819342	-0.0439678772566287	-0.408841762143335
Fjx1	-0.635903108549825	0.260566243437305	0.262572527515748	0.157449350101719	-0.301720662384005
Gfap	0.0323557090739824	-0.330263376670637	-0.336042574839138	-0.130950818518082	1.14841414224791
Grm3	-0.852316736831567	0.207567984733275	0.389297933351452	0.142181111298729	-0.221333246062241
Id1	0.123967999620789	-0.329791347874178	-0.201293817263953	-0.00413922805117004	0.650543597818177
Id3	0.102853724595984	-0.428182798121828	-0.411600333772635	0.0234740277521648	1.13146735840134
Igfbp2	-0.368650121768229	0.550229877036156	0.231920262614765	-0.0258147861021374	-0.751395520801849
Il33	-0.687381209862888	-0.292383833008192	0.182758871014244	0.695185473201179	-0.00307602790330747
Irak2	-0.480395799354505	0.150187198885123	0.157862567739342	0.154195437981344	-0.239132285631753
Itm2b	-0.563922417872035	0.134545433084927	0.186347185543032	0.172922328575636	-0.150877546746416
Itm2c	-0.664906239218981	0.227261809435548	0.228876225399473	0.241665459754365	-0.320056655709948
Kirrel2	-0.586476064068452	0.447342262433929	0.366785644355873	0.0596822362900397	-0.719040045325124
Lef1	0.0948099671276693	0.0680668907664337	0.100340385115022	-0.107527127942846	-0.342472544252724
Limd1	-0.195289185941362	0.062049491324347	0.0249015094598146	-0.00678405866847271	0.0729111855474832
Lrp1b	-0.582763517977172	0.0129388322561025	-0.134941092178626	0.277254217667864	0.634092835665963
Mfge8	-0.428121447731571	-0.109483494774082	0.183417064241055	0.301275815104979	-0.118989833782668
Pamr1	-0.157035402635493	0.326936404675729	0.332234238351533	-0.252918636807564	-0.443899003304834
Paqr6	-0.625624058510684	-0.478852724203751	-0.0210768706921768	0.656615194208852	0.298507263766334
Phgdh	-0.0866523387231789	-0.0798986022405122	-0.0328452028830128	-0.00426019158435751	0.289572409841645
Scel	-0.361694180436989	0.507610491276855	0.254375155316133	-0.25036095899785	-0.552356881980937
Slc1a3	-0.409537209281942	-0.0470601110319924	0.13066173212382	0.307754951800651	-0.146189984883038
Slc25a34	-0.237752656789905	0.349680505808158	-0.0264757281981273	0.027922116234961	-0.345640027535086
Slc27a1	-0.648747082368088	0.0705441389804537	0.278969723601996	0.271910603642732	-0.275576412066519
Slc7a5	-0.125217456722391	0.0475604167112475	-0.0496000890576464	0.0599953718811351	0.111624813550773
Slco1c1	-0.198208661423972	0.246623684886697	0.143806814457033	0.100316609266057	-0.496676713819961
Spry1	-0.426065610144624	0.454564685051339	0.32173901873855	-0.141446160874499	-0.451720208532337
Tnfrsf19	0.000711064442401585	0.403868398529952	-0.00638947663545775	-0.300206258632253	-0.11171370172114
Trpm3	-0.553360548496142	-0.00438341902905304	0.186785915991864	0.249949982204189	-0.285014017448314
